scene_key,asset_id,acquisition_utc,polygon_id,class_id,split,source_url,figure,run_tag,processing,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87966823895903,-41.267717180322755,0.0396,0.0306,0.0076,0.0018,0.0022,0.0032,0.0035,3.0E-4,0.0021,0.0026
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87990685171465,-41.26772157649076,0.0365,0.0292,0.007,0.0037,0.0015,0.0029,0.0032,9.0E-4,0.0016,0.0026
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.88026477094724,-41.267728169816245,0.0354,0.0316,0.005,0.0049,0.0057,0.005,0.0017,0.0015,0.0016,0.0019
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8818157556626,-41.26775672804549,0.0337,0.0322,0.0063,0.0031,0.0023,0.0028,0.0033,0.0032,9.0E-4,0.0019
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8825315955148,-41.26776990172503,0.0375,0.0332,0.0067,0.0043,0.0044,0.003,0.0024,9.0E-4,0.0011,0.001
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.882650902203,-41.267772096905915,0.0343,0.0335,0.0054,0.005,7.0E-4,0.0032,0.0029,9.0E-4,0.0018,0.0022
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87751781011517,-41.26776760883313,0.0388,0.0352,0.0036,0.0044,0.0028,0.004,0.0032,0.0011,0.0019,0.0027
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87871087367836,-41.26778960703757,0.0344,0.0321,0.0071,0.0056,0.0011,0.004,1.0E-4,0.0012,0.0012,0.002
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87978463201597,-41.26780939485914,0.038,0.0312,0.0067,0.0037,0.0015,0.0029,0.0027,9.0E-4,0.0016,0.0026
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_backgroundTrain_0,0,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.88264799281603,-41.2678621134625,0.0364,0.0335,0.0063,0.005,7.0E-4,0.0032,0.0011,9.0E-4,0.0018,0.0022
